,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
97,Thompson,75,CA,1559778193,67,55.74,-97.86,59.0,2.24
98,Churapcha,71,RU,1559778194,61,62.0,132.43,70.25,5.84
99,Dukat,74,RS,1559778196,92,42.44,22.31,57.99,4.29
100,Leningradskiy,41,RU,1559778197,88,69.38,178.42,34.61,4.14
101,Georgetown,40,GY,1559778198,83,6.8,-58.16,82.4,11.41
102,Saskylakh,0,RU,1559778199,42,71.97,114.09,45.95,8.34
103,Castro,90,CL,1559778157,100,-42.48,-73.76,48.2,16.11
104,Hofn,100,IS,1559778202,83,64.25,-15.21,29.93,20.04
105,Alofi,75,NU,1559778203,88,-19.06,-169.92,80.6,9.17
106,Bluff,100,AU,1559778204,48,-23.58,149.07,62.69,19.13
107,Sao Miguel do Araguaia,94,BR,1559778205,52,-13.28,-50.16,80.51,3.56
108,Neuquen,0,AR,1559778206,58,-38.95,-68.06,55.4,4.7
109,Faanui,11,PF,1559778207,79,-16.48,-151.75,81.59,18.86
110,Kirakira,87,SB,1559778209,77,-10.46,161.92,84.29,11.12
111,Port Alfred,56,ZA,1559778210,77,-33.59,26.89,57.0,8.99
112,Ponta do Sol,0,BR,1559778211,90,-20.63,-46.0,53.87,5.17
113,Kuching,75,MY,1559778212,100,1.56,110.34,77.0,2.24
114,Diamantino,0,BR,1559778213,57,-14.4,-56.44,71.33,3.56
115,Mehamn,10,NO,1559778214,75,71.03,27.85,42.89,5.88
116,Salalah,40,OM,1559778216,79,17.01,54.1,86.0,6.93
117,Atar,25,MR,1559778217,10,20.52,-13.05,95.45,13.35
118,East London,100,ZA,1559778216,67,-33.02,27.91,49.91,3.6
119,Selikhino,4,RU,1559778219,52,50.37,137.51,65.75,5.39
120,Puerto Ayora,20,EC,1559778220,61,-0.74,-90.35,80.6,16.11
121,Hamilton,75,BM,1559778221,88,32.3,-64.78,75.2,10.29
122,Bitung,20,ID,1559778223,88,1.44,125.19,80.6,2.24
123,Praia da Vitoria,75,PT,1559778224,82,38.73,-27.07,66.2,20.8
124,Mahebourg,40,MU,1559778225,78,-20.41,57.7,72.0,19.46
125,Zhigansk,33,RU,1559778226,55,66.77,123.37,61.97,8.86
126,Clyde River,20,CA,1559778227,93,70.47,-68.59,37.4,12.75
127,Port Blair,100,IN,1559778228,80,11.67,92.75,85.01,12.39
128,La Ronge,40,CA,1559778230,34,55.1,-105.3,66.2,12.75
129,Anadyr,0,RU,1559778231,62,64.73,177.51,55.4,8.95
130,Yellowknife,75,CA,1559778232,50,62.45,-114.38,51.8,14.99
131,Rawson,0,AR,1559778233,37,-43.3,-65.11,54.95,10.38
132,Solnechnyy,2,RU,1559778234,53,50.72,136.64,65.75,4.29
133,Haines Junction,85,CA,1559778235,33,60.75,-137.51,54.95,7.14
134,Chifeng,65,CN,1559778108,46,42.27,118.96,67.55,6.98
135,Sinnamary,1,GF,1559778237,81,5.38,-52.96,81.95,11.39
136,Sumenep,47,ID,1559778153,79,-7.02,113.87,80.51,9.93
137,Tuktoyaktuk,40,CA,1559778240,50,69.44,-133.03,55.4,9.17
138,Port-Gentil,20,GA,1559778241,94,-0.72,8.78,75.2,8.05
139,Sakaiminato,20,JP,1559778242,56,35.55,133.23,71.6,3.36
140,Tamiahua,90,MX,1559778243,85,21.28,-97.45,83.03,11.1
141,Nampula,0,MZ,1559778244,99,-15.12,39.26,61.43,3.51
142,Halifax,90,CA,1559778060,93,44.65,-63.58,54.0,9.17
143,Lanxi,100,CN,1559778247,81,29.21,119.46,77.63,4.07
144,Tyazhinskiy,59,RU,1559778248,60,56.11,88.52,59.81,6.51
145,Manokwari,32,ID,1559778249,66,-0.87,134.08,80.51,4.18
146,Balezino,97,RU,1559778250,94,57.97,53.01,58.73,9.17
147,Balikpapan,20,ID,1559778251,94,-1.24,116.86,78.8,3.36
148,Eureka,1,US,1559778253,82,40.8,-124.16,61.0,18.34
149,Podgornoye,36,RU,1559778254,68,57.79,82.64,58.91,8.05
150,Petropavlovka,100,RU,1559778255,87,50.61,105.32,41.99,6.42
151,Aloleng,100,PH,1559778256,67,16.13,119.78,86.45,3.96
152,Kalga,0,RU,1559778257,57,50.92,118.9,54.59,3.53
153,Kungurtug,0,RU,1559778258,51,50.6,97.53,48.29,0.36
154,Chibombo,5,ZM,1559778259,66,-14.68,28.09,54.23,3.4
155,Kasongo-Lunda,17,CD,1559778261,38,-6.48,16.82,64.67,3.04
156,Pinawa,100,CA,1559778262,27,50.15,-95.88,75.0,6.64
157,Camacha,40,PT,1559778263,63,33.08,-16.33,66.2,10.29
158,Nova Olimpia,0,BR,1559778264,67,-14.8,-57.29,71.15,2.89
159,College,40,US,1559778265,29,64.86,-147.8,71.01,6.93
160,Nouadhibou,0,MR,1559778266,77,20.93,-17.03,68.0,21.92
161,Pontianak,20,ID,1559778268,94,-0.02,109.34,78.8,10.16
162,Corpus Christi,75,US,1559778069,70,27.8,-97.4,96.8,12.75
163,Luganville,75,VU,1559778270,83,-15.51,167.18,77.0,2.24
164,Chipata,34,ZM,1559778271,86,-13.64,32.65,57.29,5.12
165,Ahipara,52,NZ,1559778272,98,-35.17,173.16,62.01,25.08
166,Katsuura,20,JP,1559778273,78,33.93,134.5,78.01,10.29
167,Eirunepe,0,BR,1559778275,77,-6.66,-69.87,75.29,1.74
168,Kibara,4,TZ,1559778276,66,-2.15,33.45,72.05,4.43
169,Ibra,0,OM,1559778277,63,22.69,58.55,81.41,5.91
170,Saint-Ambroise,0,FR,1559778278,93,47.25,-0.65,54.0,2.24
171,Vila Velha,20,BR,1559778175,74,-3.71,-38.6,82.4,8.05
172,Portel,0,PT,1559778280,54,38.31,-7.71,57.2,8.05
173,Wajir,48,KE,1559778281,66,1.75,40.07,76.73,14.16
174,Saint-Philippe,90,CA,1559778219,72,45.36,-73.48,62.6,4.7
175,Naze,75,NG,1559778283,100,5.43,7.07,69.8,6.17
176,Kambove,0,CD,1559778285,77,-10.88,26.6,53.51,3.8
177,Cherskiy,94,RU,1559778286,31,68.75,161.3,43.79,6.31
178,Danjiangkou,48,CN,1559778287,68,32.54,111.51,74.57,8.72
179,Saldanha,13,PT,1559778288,74,41.42,-6.55,45.59,2.89
180,Rodrigues Alves,20,BR,1559778289,88,-7.74,-72.65,77.0,1.25
181,Lardos,0,GR,1559778290,82,36.09,28.02,68.0,6.93
182,Likhoslavl,0,RU,1559778291,95,57.12,35.47,59.27,3.38
183,Polovinnoye,99,RU,1559778293,93,54.79,65.99,51.89,17.63
184,Codrington,3,AU,1559778294,71,-28.95,153.24,60.01,4.7
185,Grand Gaube,40,MU,1559778295,78,-20.01,57.66,72.0,19.46
186,Lorengau,98,PG,1559778296,71,-2.02,147.27,85.55,5.79
187,Pangnirtung,99,CA,1559778297,34,66.15,-65.72,49.55,3.09
188,The Valley,20,AI,1559778274,78,18.22,-63.06,82.0,9.17
189,Dharchula,0,IN,1559778299,24,29.85,80.53,50.27,10.33
190,Marystown,1,CA,1559778300,87,47.17,-55.16,42.89,8.43
191,Mokolo,100,CM,1559778302,59,10.74,13.8,81.77,13.65
192,Espanola,49,CA,1559778303,48,46.27,-81.77,64.0,4.0
193,Chulym,100,RU,1559778304,97,55.09,80.97,58.91,5.73
194,Tasiilaq,0,GL,1559778305,60,65.61,-37.64,37.4,2.24
195,Karben,40,DE,1559778306,53,50.23,8.77,72.0,12.75
196,Rio do Sul,21,BR,1559778307,95,-27.22,-49.64,61.0,4.34
197,Birao,100,CF,1559778308,55,10.3,22.78,83.75,7.36
198,Olga,1,US,1559778247,54,34.11,-118.17,82.99,11.41
199,Broken Hill,75,AU,1559778311,81,-31.97,141.45,42.8,12.75
200,Kjollefjord,9,NO,1559778312,78,70.95,27.35,43.07,8.3
201,Tagusao,68,PH,1559778313,71,9.19,117.81,84.29,1.81
202,Tagbac,20,PH,1559778314,88,7.09,125.16,78.8,3.36
203,Tamworth,0,AU,1559778315,87,-31.09,150.93,44.6,3.36
204,Barcelos,40,PT,1559778220,76,41.53,-8.62,59.0,4.7
205,Talnakh,0,RU,1559778317,86,69.49,88.39,37.4,15.66
206,Jacareacanga,50,BR,1559778319,71,-6.22,-57.76,78.17,1.45
207,New Norfolk,75,AU,1559778320,62,-42.78,147.06,57.99,6.62
208,Mar del Plata,37,AR,1559778270,54,-46.43,-67.52,49.01,18.88
209,Qinzhou,100,CN,1559778322,73,21.96,108.62,85.73,14.85
210,Sarangani,100,PH,1559778323,70,5.4,125.46,83.75,7.85
211,Cancun,40,MX,1559778102,74,21.17,-86.85,84.2,14.99
212,Ribeira Grande,0,PT,1559778308,86,38.52,-28.7,64.67,16.67
213,Ayotzintepec,100,MX,1559778326,93,17.67,-96.13,64.67,1.66
214,Rio Cuarto,0,AR,1559778327,82,-33.13,-64.35,55.4,3.36
215,Amberley,57,NZ,1559778329,70,-43.15,172.73,53.01,8.05
216,Sioux Lookout,75,CA,1559778330,35,50.1,-91.92,71.6,2.24
217,Opuwo,0,NA,1559778331,25,-18.06,13.84,58.19,4.07
218,Isangel,90,VU,1559778330,78,-19.55,169.27,78.8,9.17
219,Bathsheba,20,BB,1559778087,74,13.22,-59.52,82.4,13.87
220,Kavieng,73,PG,1559778334,73,-2.57,150.8,85.19,8.48
221,Nuuk,75,GL,1559778335,52,64.17,-51.74,46.4,14.99
222,Silver City,40,US,1559778337,23,32.77,-108.28,82.99,12.75
223,Christchurch,57,NZ,1559778338,70,-43.53,172.64,53.01,8.05
224,Nyagan,91,RU,1559778339,87,62.14,65.43,41.45,7.2
225,Badulla,82,LK,1559778340,85,6.99,81.06,68.99,3.83
226,Rancho Palos Verdes,40,US,1559778341,73,33.75,-118.37,82.4,12.75
227,Fukue,0,JP,1559778342,60,35.03,136.69,80.01,12.75
228,Hambantota,100,LK,1559778343,82,6.12,81.12,82.85,14.63
229,Coquimbo,40,CL,1559778345,93,-29.95,-71.34,63.0,2.24
230,Presidencia Roque Saenz Pena,0,AR,1559778346,78,-26.79,-60.44,64.49,9.95
231,Kupang,20,ID,1559778347,78,-10.16,123.6,77.0,12.75
232,Campos Belos,35,BR,1559778348,54,-13.04,-46.77,76.37,4.56
233,Kirensk,64,RU,1559778349,80,57.78,108.12,53.33,2.86
234,Kitimat,75,CA,1559778350,36,54.02,-128.69,64.4,3.36
235,Khislavichi,0,RU,1559778352,93,54.19,32.16,58.73,5.41
236,Teresina,0,BR,1559778355,78,-5.09,-42.81,80.6,1.12
237,Nome,75,US,1559778356,88,30.04,-94.42,77.0,11.41
238,Gushikawa,1,JP,1559778357,83,26.35,127.87,84.2,8.05
239,La Primavera,0,AR,1559778358,76,-32.92,-68.67,55.4,3.36
240,Kaitangata,92,NZ,1559778360,64,-46.28,169.85,52.0,4.0
241,Hasaki,40,JP,1559778361,78,35.73,140.83,77.0,1.12
242,Weligama,100,LK,1559778362,80,5.97,80.42,82.67,12.08
243,Puerto Escondido,40,MX,1559778363,70,15.86,-97.07,86.0,6.93
244,Portland,75,US,1559778294,55,45.52,-122.67,66.99,3.36
245,Snyder,1,US,1559778365,42,32.72,-100.92,87.01,3.36
246,Mackay,40,CA,1559778367,71,53.65,-115.58,59.0,9.17
247,Fort Nelson,75,CA,1559778368,54,58.81,-122.69,53.6,11.41
248,Dunedin,89,NZ,1559778301,50,-45.87,170.5,51.01,3.0
249,Havre-Saint-Pierre,20,CA,1559778370,76,50.23,-63.6,48.2,11.41
250,Khingansk,99,RU,1559778371,68,49.12,131.18,65.39,3.0
251,Lavrentiya,19,RU,1559778372,49,65.58,-170.99,57.83,5.44
252,Linxia,81,CN,1559778373,47,35.6,103.21,59.45,3.65
253,Fairbanks,40,US,1559778346,29,64.84,-147.72,71.01,6.93
254,Margate,75,AU,1559778376,62,-43.03,147.26,57.99,6.62
255,Aksarka,100,RU,1559778377,96,66.56,67.8,31.73,13.04
256,Qaanaaq,96,GL,1559778378,78,77.48,-69.36,27.05,1.19
257,Sitka,49,US,1559778379,33,37.17,-99.65,84.29,5.06
258,Tiksi,0,RU,1559778234,73,71.64,128.87,33.17,8.52
259,Oksfjord,46,NO,1559778381,93,70.24,22.35,48.2,9.17
260,Vestmannaeyjar,24,IS,1559778382,59,63.44,-20.27,48.47,20.13
261,Bredasdorp,52,ZA,1559778384,87,-34.53,20.04,51.8,6.93
262,San Quintin,90,PH,1559778385,64,17.54,120.52,86.99,2.3
263,Coihaique,75,CL,1559778238,81,-45.58,-72.07,44.6,6.93
264,San Antonio,90,CL,1559778188,100,-33.58,-71.61,57.2,4.7
265,Tazovskiy,88,RU,1559778392,81,67.47,78.7,42.71,6.89
266,Pineville,90,US,1559778393,88,31.32,-92.43,73.99,6.93
267,Beyneu,0,KZ,1559778394,29,45.32,55.19,69.35,9.4
268,Valparaiso,1,US,1559778395,54,41.47,-87.06,82.99,6.93
269,High Rock,75,BS,1559778397,66,26.63,-78.28,84.2,9.17
270,Rocha,99,UY,1559778261,83,-34.48,-54.34,56.93,12.17
271,Moyale,40,ET,1559778399,74,3.52,39.05,69.53,5.55
272,Hithadhoo,46,MV,1559778160,79,-0.6,73.08,83.93,12.5
273,Pordim,75,BG,1559778401,88,43.38,24.85,62.6,2.24
274,Vardo,1,US,1559778385,69,39.62,-77.74,75.99,6.93
275,Aljezur,0,PT,1559778403,79,37.31,-8.8,61.0,12.68
276,Hailey,20,US,1559778405,27,43.52,-114.32,75.2,3.36
277,Nemuro,33,JP,1559778406,85,43.32,145.57,48.47,8.1
278,Geraldton,40,CA,1559778407,32,49.72,-86.95,66.2,4.7
279,Sangar,32,RU,1559778408,51,63.92,127.47,68.81,9.93
280,Baykit,18,RU,1559778409,44,61.68,96.39,62.33,2.15
281,Dwarka,20,IN,1559778410,38,28.58,77.04,91.4,6.85
282,Bambanglipuro,67,ID,1559778172,85,-7.95,110.28,78.35,6.76
283,Carutapera,73,BR,1559778413,92,-1.2,-46.02,77.09,5.08
284,Kudahuvadhoo,98,MV,1559778414,79,2.67,72.89,83.75,15.64
285,Miri,85,NG,1559778415,61,10.31,9.75,81.05,10.92
286,Lamar,75,US,1559778255,64,38.09,-102.62,69.8,13.87
287,Boa Vista,75,BR,1559778306,78,2.82,-60.67,82.4,1.12
288,Pevek,0,RU,1559778419,82,69.7,170.27,33.71,3.83
289,Anloga,40,GH,1559778421,88,5.79,0.9,80.6,16.11
290,Newport,83,GB,1559778422,87,51.59,-3.0,53.01,8.05
291,Turbat,63,PK,1559778423,21,26.0,63.05,93.65,3.91
292,La Paz,5,MX,1559778425,42,24.15,-110.32,84.2,13.87
293,Yenagoa,99,NG,1559778426,96,4.92,6.26,74.93,3.24
294,Namtsy,0,RU,1559778427,59,62.72,129.66,66.2,8.95
295,Cockburn Town,0,TC,1559778347,79,21.46,-71.14,81.77,11.92
296,Woodward,1,US,1559778429,42,36.43,-99.39,87.01,5.82
297,Romny,35,UA,1559778431,90,50.74,33.49,59.09,8.19
298,Sobolevo,0,RU,1559778432,94,54.43,31.9,58.73,5.53
299,Kununurra,0,AU,1559778433,29,-15.77,128.74,60.8,12.75
300,Fare,2,PF,1559778434,79,-16.7,-151.02,81.23,17.43
301,Arcata,75,US,1559778435,87,40.87,-124.08,61.0,14.99
302,Seybaplaya,40,MX,1559778436,59,19.65,-90.67,93.2,11.41
303,Barabai,93,ID,1559778438,91,-2.59,115.38,78.17,0.4
304,Longyan,95,CN,1559778439,91,25.1,117.03,74.93,3.69
305,Karratha,0,AU,1559778440,24,-20.74,116.85,64.85,23.06
306,Kibala,20,TD,1559778441,74,9.11,18.35,80.6,8.68
307,Vanimo,100,PG,1559778442,71,-2.67,141.3,83.21,4.97
308,Ponta Delgada,20,PT,1559778443,82,37.73,-25.67,62.6,10.29
309,San Patricio,0,PY,1559778445,86,-26.98,-56.83,58.91,7.58
310,Todos Santos,5,MX,1559778446,57,23.45,-110.23,84.0,10.29
311,Lyskovo,16,RU,1559778447,82,56.03,45.04,55.49,7.2
312,Sistranda,0,NO,1559778448,72,63.73,8.83,59.0,6.93
313,Dongzhen,31,CN,1559778449,45,43.33,129.73,69.53,6.8
314,Borgarnes,0,IS,1559778450,56,64.54,-21.92,45.0,20.8
315,Guane,55,CU,1559778451,77,22.2,-84.09,83.93,9.98
316,Ambon,34,FR,1559778453,93,47.55,-2.56,55.99,2.24
317,Bima,73,ID,1559778454,85,-8.45,118.73,74.39,4.68
318,Santa Fe,17,AR,1559778247,81,-31.62,-60.7,64.99,5.01
319,Avarua,4,CK,1559778312,69,-21.21,-159.78,77.0,12.75
320,Katobu,38,ID,1559778457,84,-4.94,122.53,79.07,5.59
321,Farah,0,AF,1559778458,23,32.37,62.11,79.07,7.81
322,Byron Bay,100,AU,1559778459,67,-28.65,153.62,63.0,10.29
323,Honiara,20,SB,1559778461,79,-9.43,159.96,84.2,9.57
324,Honolulu,75,US,1559778462,62,21.3,-157.86,86.0,11.41
325,Flin Flon,75,CA,1559778463,42,54.77,-101.88,66.2,12.75
326,Maniitsoq,99,GL,1559778464,42,65.42,-52.9,51.53,5.61
327,Araouane,0,ML,1559778465,8,18.9,-3.53,92.75,5.86
328,Scottsbluff,1,US,1559778466,42,41.87,-103.67,82.4,10.29
329,Adwa,100,ET,1559778468,72,14.16,38.9,68.27,2.28
330,Batagay,0,RU,1559778469,38,67.65,134.64,57.29,7.4
331,Orissaare,0,EE,1559778470,68,58.56,23.08,66.2,6.93
332,Mach,0,PK,1559778471,27,29.87,67.33,63.95,5.5
333,Santiago del Estero,2,AR,1559778472,56,-27.8,-64.26,67.37,13.24
334,Aklavik,40,CA,1559778331,41,68.22,-135.01,60.8,6.93
335,Ruyigi,82,BI,1559778474,66,-3.47,30.25,61.43,3.09
336,Koping,3,SE,1559778475,72,59.51,15.99,64.99,4.7
337,Iranshahr,0,IR,1559778477,12,27.21,60.69,85.73,6.89
338,Norton,0,ZW,1559778478,49,-17.87,30.7,53.33,3.74
339,Cleethorpes,99,GB,1559778479,87,53.56,-0.03,55.4,4.32
340,Maracaibo,75,CO,1559778480,69,3.41,-75.78,78.8,12.75
341,Santona,75,ES,1559778482,76,43.44,-3.46,55.99,4.7
342,Gat,20,SN,1559778483,83,14.69,-16.54,71.6,8.05
343,Qiongshan,0,CN,1559778484,88,20.01,110.35,82.4,6.71
344,Mana,90,RS,1559778485,100,43.52,20.24,59.0,1.12
345,Dhemaji,12,IN,1559778486,75,27.48,94.56,79.25,2.3
346,Yatou,75,CM,1559778487,94,3.63,9.81,73.4,3.36
347,Saint-Paul,90,FR,1559778489,100,45.22,1.9,48.99,3.36
348,Kinlochleven,94,GB,1559778490,94,56.71,-4.97,48.99,3.0
349,Srednekolymsk,94,RU,1559778491,49,67.46,153.71,45.23,15.5
350,Champerico,90,MX,1559778492,65,16.38,-93.6,82.4,11.41
351,Ostrovnoy,0,RU,1559778493,83,68.05,39.51,38.75,4.36
352,Tanout,99,NE,1559778494,15,14.97,8.88,98.69,11.5
353,Tabou,85,CI,1559778496,87,4.42,-7.36,75.83,2.91
354,Gazli,26,UZ,1559778497,20,40.13,63.45,85.19,4.27
355,Rio Gallegos,0,AR,1559778498,71,-51.62,-69.22,39.2,6.93
356,Adrar,94,DZ,1559778499,11,27.87,-0.29,91.4,9.17
357,La Reforma,75,GT,1559778500,70,14.8,-91.82,86.0,6.93
358,Usinsk,78,RU,1559778502,64,66.0,57.56,48.83,6.26
359,La Rioja,92,AR,1559778503,86,-29.41,-66.86,52.25,1.79
360,Teruel,3,ES,1559778504,75,40.34,-1.11,62.6,5.82
361,Ilulissat,5,GL,1559778505,60,69.22,-51.1,42.8,4.7
362,Taytay,100,PH,1559778506,83,10.83,119.52,83.03,7.05
363,Port Hardy,75,CA,1559778507,59,50.7,-127.42,62.6,10.29
364,Cartagena,0,ES,1559778509,72,37.63,-1.0,71.01,4.7
365,Buritis,60,BR,1559778320,60,-15.62,-46.42,73.13,5.26
366,Mount Isa,91,AU,1559778511,37,-20.73,139.49,55.4,14.99
367,Marzuq,0,YE,1559778512,44,14.4,46.47,79.07,5.77
368,Lagos,40,NG,1559778340,88,6.46,3.39,80.6,3.36
369,Teya,40,MX,1559778514,39,21.05,-89.07,97.0,4.7
370,Manicore,79,BR,1559778515,69,-5.81,-61.3,80.51,2.3
371,Sao Joao da Barra,0,BR,1559778517,93,-21.64,-41.05,66.2,3.83
372,Cochrane,100,CL,1559778518,94,-47.25,-72.57,35.33,4.74
373,Niquero,5,CU,1559778519,69,20.04,-77.58,84.65,5.28
374,Ullapool,88,GB,1559778520,83,57.9,-5.16,48.99,1.01
